"timestamp","light","distance","__dt"
"2021-06-26T09:30:17","52.38095",,"2021-06-26 00:00:00.000"
"2021-06-26T09:30:17",,"36.95876","2021-06-26 00:00:00.000"
"2021-06-21T13:39:03",,"34.07216","2021-06-21 00:00:00.000"
"2021-06-21T13:39:03","47.61905",,"2021-06-21 00:00:00.000"
"2021-06-21T13:39:24",,"47.7835","2021-06-21 00:00:00.000"
"2021-06-21T13:39:24","48.05861",,"2021-06-21 00:00:00.000"
"2021-06-26T08:26:18",,"29.39862","2021-06-26 00:00:00.000"
"2021-06-26T08:26:18","49.49939",,"2021-06-26 00:00:00.000"
"2021-06-26T08:32:30",,"40.03437","2021-06-26 00:00:00.000"
"2021-06-26T08:32:30","51.23321",,"2021-06-26 00:00:00.000"
"2021-06-26T08:32:51",,"49.0378","2021-06-26 00:00:00.000"
"2021-06-26T08:32:51","50.91575",,"2021-06-26 00:00:00.000"
"2021-06-26T08:14:36","47.20391",,"2021-06-26 00:00:00.000"
"2021-06-26T08:14:36",,"41.87285","2021-06-26 00:00:00.000"
"2021-06-26T08:14:57",,"40.53265","2021-06-26 00:00:00.000"
"2021-06-26T08:14:57","47.61905",,"2021-06-26 00:00:00.000"
"2021-06-21T12:48:32",,"36.76976","2021-06-21 00:00:00.000"
"2021-06-21T12:48:32","0.0",,"2021-06-21 00:00:00.000"
"2021-06-21T12:48:52","0.0",,"2021-06-21 00:00:00.000"
"2021-06-21T12:48:52",,"60.56701","2021-06-21 00:00:00.000"
"2021-06-18T12:46:32",,"51.30584","2021-06-18 00:00:00.000"
"2021-06-18T12:46:32","0.0",,"2021-06-18 00:00:00.000"
"2021-06-18T12:46:53","0.0",,"2021-06-18 00:00:00.000"
"2021-06-18T12:46:53",,"53.98625","2021-06-18 00:00:00.000"
"2021-06-22T08:43:40","0.0",,"2021-06-22 00:00:00.000"
"2021-06-22T08:43:39",,"101.4605","2021-06-22 00:00:00.000"
"2021-06-23T12:37:07","66.86203",,"2021-06-23 00:00:00.000"
"2021-06-23T12:37:07",,"278.8831","2021-06-23 00:00:00.000"
"2021-06-23T12:37:28",,"279.6907","2021-06-23 00:00:00.000"
